Name,Season,Position,Wins,Losses,GoalsScored,GoalsConceded,CleanSheets,Shots,ShotsOnTarget,PenaltiesScored,Saves,Passes,PassAccuracy,Tackles,TacklesSuccess,BlockedShots,Clearances,Interceptions,Crosses,AerialDuels%,OwnGoals,YellowCards,RedCards,Offsides,
Cadiz,2020-21,12.00,11.00,16.00,36.00,58.00,10.00,299.00,97.00,4.00,91.00,7949.00,0.66,573.00,0.55,99.00,788.00,437.00,731.00,0.48,1.00,81.00,3.00,56.00,
Celta Vigo,2022-23,13.00,11.00,17.00,43.00,53.00,10.00,470.00,160.00,2.00,80.00,14700.00,0.80,664.00,0.62,84.00,666.00,368.00,705.00,0.46,1.00,85.00,6.00,81.00,
Celta Vigo,2021-22,11.00,12.00,16.00,43.00,43.00,14.00,405.00,135.00,3.00,91.00,16007.00,0.78,696.00,0.59,91.00,634.00,376.00,768.00,0.46,2.00,87.00,3.00,83.00,
Celta Vigo,2020-21,8.00,14.00,13.00,55.00,57.00,9.00,350.00,133.00,7.00,81.00,15176.00,0.79,662.00,0.56,89.00,751.00,405.00,521.00,0.48,1.00,109.00,5.00,65.00,
Celta Vigo,2019-20,17.00,7.00,15.00,37.00,49.00,12.00,359.00,131.00,6.00,100.00,14552.00,0.78,589.00,0.61,89.00,807.00,396.00,636.00,0.50,0.00,104.00,6.00,70.00,
Celta Vigo,2018-19,17.00,10.00,17.00,53.00,62.00,8.00,445.00,152.00,7.00,106.00,14955.00,0.80,634.00,0.59,105.00,889.00,382.00,659.00,0.52,1.00,84.00,6.00,90.00,
Eibar,2020-21,20.00,6.00,20.00,29.00,52.00,9.00,443.00,127.00,4.00,82.00,11810.00,0.70,514.00,0.60,63.00,593.00,434.00,1052.00,0.50,0.00,71.00,3.00,67.00,
Eibar,2019-20,14.00,11.00,18.00,39.00,56.00,11.00,419.00,132.00,7.00,81.00,10439.00,0.67,567.00,0.60,81.00,692.00,430.00,870.00,0.47,1.00,92.00,3.00,73.00,
Eibar,2018-19,12.00,11.00,13.00,46.00,50.00,9.00,524.00,147.00,7.00,82.00,12976.00,0.70,637.00,0.67,53.00,683.00,368.00,1057.00,0.50,1.00,82.00,1.00,92.00,
Elche,2022-23,20.00,5.00,23.00,30.00,67.00,4.00,400.00,124.00,4.00,140.00,12049.00,0.77,633.00,0.57,131.00,766.00,323.00,750.00,0.51,2.00,99.00,12.00,81.00,
